Month,Date,Time,Unit.code,ID.code,Sex,Diet.Item,Season
February,2/4/2015,8:37:17 AM,6,44,female,unidentified.underground,dry
February,2/4/2015,8:47:01 AM,6,44,female,graminoid.leaves,dry
February,2/4/2015,8:47:01 AM,6,33,female,graminoid.leaves,dry
February,2/4/2015,8:47:01 AM,6,25,female,unidentified.underground,dry
February,2/4/2015,8:56:37 AM,6,40,female,graminoid.leaves,dry
February,2/4/2015,8:56:37 AM,6,49,female,unidentified.underground,dry
February,2/4/2015,9:07:10 AM,6,44,female,graminoid.leaves,dry
February,2/4/2015,9:07:10 AM,6,28,male,graminoid.leaves,dry
February,2/4/2015,9:07:10 AM,6,25,female,graminoid.leaves,dry
February,2/4/2015,9:07:10 AM,6,40,female,graminoid.leaves,dry
February,2/4/2015,9:17:01 AM,6,28,male,graminoid.leaves,dry
February,2/4/2015,9:17:01 AM,6,25,female,graminoid.leaves,dry
February,2/4/2015,9:17:01 AM,6,40,female,graminoid.leaves,dry
February,2/4/2015,9:17:01 AM,6,33,female,unidentified.underground,dry
February,2/4/2015,11:18:56 AM,8,17,male,forb.leaves,dry
February,2/4/2015,11:18:56 AM,8,29,female,graminoid.leaves,dry
February,2/4/2015,11:18:56 AM,8,24,male,graminoid.leaves,dry
February,2/4/2015,11:18:56 AM,8,42,male,graminoid.leaves,dry
February,2/4/2015,11:29:18 AM,8,42,male,flower,dry
February,2/4/2015,11:29:18 AM,8,17,male,forb.leaves,dry
February,2/4/2015,11:29:18 AM,8,29,female,graminoid.leaves,dry
February,2/4/2015,11:29:18 AM,8,24,male,graminoid.leaves,dry
February,2/4/2015,11:29:18 AM,8,46,female,graminoid.leaves,dry
February,2/4/2015,11:39:12 AM,8,46,female,graminoid.leaves,dry
February,2/4/2015,11:39:12 AM,8,29,female,unidentified.underground,dry
February,2/4/2015,11:39:12 AM,8,24,male,unidentified.underground,dry
February,2/4/2015,11:48:59 AM,8,46,female,forb.leaves,dry
February,2/4/2015,11:48:59 AM,8,17,male,graminoid.leaves,dry
February,2/6/2015,2:52:28 PM,1,20,female,unidentified.underground,dry
February,2/6/2015,3:07:00 PM,1,14,female,forb.leaves,dry
February,2/6/2015,3:07:00 PM,1,20,female,forb.leaves,dry
February,2/6/2015,3:07:00 PM,1,51,male,graminoid.leaves,dry
February,2/6/2015,3:18:09 PM,1,20,female,forb.leaves,dry
February,2/6/2015,3:18:09 PM,1,8,female,forb.leaves,dry
